statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
여의도,상행,퇴근,전체,222,50
여의도,하행,밤,급행,655,30
여의도,하행,밤,완행,570,34
여의도,하행,밤,전체,265,65
여의도,하행,새벽,급행,780,3
여의도,하행,새벽,완행,788,6
여의도,하행,새벽,전체,440,9
여의도,하행,점심,급행,660,40
여의도,하행,점심,완행,660,43
여의도,하행,점심,전체,280,83
여의도,하행,출근,급행,460,21
여의도,하행,출근,완행,465,22
여의도,하행,출근,전체,315,43
여의도,하행,퇴근,급행,480,21
여의도,하행,퇴근,완행,480,21
여의도,하행,퇴근,전체,290,42
염창,상행,밤,급행,660,20
염창,상행,밤,완행,660,26
염창,상행,밤,전체,470,47
염창,상행,새벽,급행,705,8
염창,상행,새벽,완행,625,9
염창,상행,새벽,전체,220,17
염창,상행,점심,급행,660,38
염창,상행,점심,완행,660,40
염창,상행,점심,전체,218,78
염창,상행,출근,급행,380,25
염창,상행,출근,완행,380,24
염창,상행,출근,전체,200,49
염창,상행,퇴근,급행,410,25
염창,상행,퇴근,완행,410,25
염창,상행,퇴근,전체,218,50
염창,하행,밤,급행,655,31
염창,하행,밤,완행,500,35
염창,하행,밤,전체,205,67
염창,하행,새벽,급행,828,2
염창,하행,새벽,완행,800,7
염창,하행,새벽,전체,670,9
염창,하행,점심,급행,660,41
염창,하행,점심,완행,660,44
염창,하행,점심,전체,210,85
염창,하행,출근,급행,520,20
염창,하행,출근,완행,510,20
염창,하행,출근,전체,215,40
염창,하행,퇴근,급행,480,21
염창,하행,퇴근,완행,482,20
